사업부(조정),부서명,대분류,중분류,소분류,합계 : 202401,합계 : 202402,합계 : 202403,합계 : 202404,합계 : 202405,합계 : 202406,합계 : 202407,합계 : 202408,합계 : 202409,합계 : 202411,합계 : 202410,합계 : 202412
DX,VMD,인건비,"파트타임,인턴",노무비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,424.04",0.00,"7,043.36"
DX,VMD,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,772.91","2,291.40","27,726.65"
DX,VMD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,013.07",0.00,0.00,0.00,0.00
DX,리테일,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,743.00",0.00,"5,743.00"
DX,리테일,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,280.93",0.00,"12,280.93"
DX,리테일,인건비,"급여,성과급",인건비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"59,184.40",0.00,"59,184.40"
DX,리테일,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,422.45",0.00,244.00
DX,마케팅,광고비,마케팅,광고선전비_MKT광고,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"150,000.00","1,410,600.00","4,746,520.31","3,825,278.00","2,705,693.50"
DX,마케팅,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,660.00","9,660.00","12,540.00","9,660.00","12,660.00"
DX,마케팅,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,656.30","20,656.30","26,814.70","20,656.30","27,071.30"
DX,마케팅,수주회,수주회,광고비_수주회,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"979,137.72",0.00,0.00,0.00
DX,마케팅,인건비,"급여,성과급",인건비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"104,289.43","87,377.63","130,054.18","87,377.63","117,735.70"
DX,마케팅,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,438.26","30,477.99","9,374.31"
DX,마케팅,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,136.49",0.00,0.00,0.00,0.00
DX,온라인,광고비,샘플사용,직접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DX,온라인,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,720.00","1,860.00","10,720.00"
DX,온라인,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"22,925.16","3,977.30","22,925.16"
DX,온라인,인건비,"급여,성과급",인건비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"94,875.19","12,827.59","109,554.50"
DX,인테리어,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,292.17","5,414.53",0.00,"6,210.29"
DX,인테리어,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,982.97",0.00,0.00
KIDS,MD,감가상각비,비품,감가상각비_기계장치,"2,946.16","2,946.22","2,793.70","2,793.79","2,793.80","2,793.81","2,793.73","1,855.56","1,408.22","1,408.22","1,408.25",946.87
KIDS,MD,광고비,샘플사용,간접 샘플 수수료,0.00,"1,961.65",436.02,"1,327.01","-1,327.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00
KIDS,MD,복리후생비,공적금,복리후생비_공적금,"8,078.00","8,078.00","8,078.00","8,078.00","8,078.00","8,078.00","8,078.00","10,745.00","13,195.00","14,995.00","13,195.00","14,995.00"
KIDS,MD,복리후생비,사회보험,복리후생비_사회보험,"18,012.50","18,012.50","18,012.50","16,666.06","17,339.28","17,339.28","17,339.28","22,911.16","28,215.92","32,064.92","28,215.92","32,064.92"
KIDS,MD,인건비,"급여,성과급",인건비,"120,777.67","197,261.05","-216,550.30","131,297.33","131,297.33","131,297.33","114,885.17","123,122.48","142,994.40","153,711.57","167,958.23","145,402.83"
KIDS,MD,인건비,퇴직급여,퇴직급여,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"103,503.00",0.00
KIDS,MD,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,427.00,218.88,"12,360.73",373.47
KIDS,MD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"5,150.40","10,989.44",0.00,0.00,"3,432.70",0.00,"34,285.48"
KIDS,VMD,감가상각비,비품,감가상각비_기계장치,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,096.26","1,096.26","1,096.26","1,096.28","1,096.26"
KIDS,VMD,복리후생비,공적금,복리후생비_공적금,"6,919.00","6,919.00","6,919.00","7,795.00","7,795.00","8,875.00","6,535.00","8,154.00","6,399.00","6,399.00","6,399.00","6,399.00"
KIDS,VMD,복리후생비,사회보험,복리후생비_사회보험,"15,426.06","15,426.06","15,426.06","16,155.74","16,732.28","19,050.32","14,027.90","17,428.44","13,705.94","13,705.94","13,705.94","13,705.94"
KIDS,VMD,인건비,"급여,성과급",인건비,"78,885.33","134,657.00","364,618.33","101,653.20","102,611.83","110,910.67","91,295.32","60,736.20","61,220.83","61,220.83","61,220.83","61,220.83"
KIDS,VMD,출장비,국내출장비,여비교통비_국내출장비,212.80,-12.05,"4,993.78","5,644.10","1,500.29",843.00,"3,287.17","1,834.22","7,289.11","2,283.00","9,669.30",0.00
KIDS,VMD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,"1,499.93",0.00,0.00,0.00,"2,184.00","-2,184.00",0.00,0.00,0.00
KIDS,Wholesale,감가상각비,비품,감가상각비_기계장치,"1,035.28","1,035.33","1,035.28","1,035.29","1,035.32","1,035.29","1,035.30",864.46,864.44,864.46,864.46,403.14
KIDS,Wholesale,광고비,샘플사용,간접 샘플 수수료,"16,033.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KIDS,Wholesale,광고비,샘플사용,직접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KIDS,Wholesale,복리후생비,공적금,복리후생비_공적금,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,907.00","12,907.00","12,907.00","12,907.00","12,907.00"
KIDS,Wholesale,복리후생비,사회보험,복리후생비_사회보험,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"27,826.57","27,826.57","27,826.57","27,826.57","27,826.57"
KIDS,Wholesale,인건비,"급여,성과급",인건비,0.00,0.00,"-495,696.00",0.00,0.00,0.00,0.00,"118,973.00","118,973.00","118,973.00","118,973.00","122,491.73"
KIDS,Wholesale,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,495.00,"7,175.51",0.00,281.26,0.00,"8,857.98","4,916.95","6,835.75",82.00
KIDS,리테일,복리후생비,공적금,복리후생비_공적금,"3,422.00","3,422.00","3,422.00","3,422.00","3,422.00","3,422.00","3,422.00","7,958.00","7,905.00","7,670.00","5,270.00","7,670.00"
KIDS,리테일,복리후생비,사회보험,복리후생비_사회보험,"7,713.03","7,713.03","7,713.03","7,136.49","7,424.76","7,424.76","7,424.76","17,104.49","17,001.59","16,500.66","11,368.66","16,500.66"
KIDS,리테일,인건비,"급여,성과급",인건비,"42,320.23","62,801.49","141,549.33","37,389.33","41,212.79","37,389.33","37,389.33","105,093.99","137,715.67","128,977.20","154,506.30","128,977.20"
KIDS,리테일,출장비,국내출장비,여비교통비_국내출장비,0.00,"2,525.00",227.54,75.51,-85.22,0.00,369.81,"2,635.69",377.36,"2,771.94","1,186.64",372.00
KIDS,마케팅,광고비,마케팅,광고선전비_MKT광고,"876,978.71","117,874.68","2,008,554.03","436,065.59","1,165,386.68","441,728.05","306,212.61","759,109.02","2,779,678.51","798,984.88","1,270,329.80","243,838.59"
KIDS,마케팅,복리후생비,공적금,복리후생비_공적금,"4,543.00","4,543.00","4,543.00","4,543.00","4,543.00","4,543.00","4,543.00","6,699.00","5,621.00","5,621.00","5,621.00","5,621.00"
KIDS,마케팅,복리후생비,사회보험,복리후생비_사회보험,"10,130.79","10,130.79","10,130.79","9,373.53","9,752.16","9,752.16","9,752.16","14,285.25","12,018.71","12,018.71","12,018.71","12,018.71"
KIDS,마케팅,수주회,수주회,광고비_수주회,0.00,0.00,0.00,0.00,0.00,0.00,"347,068.24",0.00,0.00,0.00,0.00,0.00
KIDS,마케팅,수주회,수주회,광고선전비_행사비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KIDS,마케팅,인건비,"급여,성과급",인건비,"52,466.67","84,372.83","230,946.00","59,884.00","69,884.00","59,884.00","55,392.70","51,725.05","52,398.50","55,392.70","55,392.70","52,398.50"
KIDS,마케팅,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,215.50,0.00,"1,216.50",0.00,0.00,0.00,0.00,764.15,411.30
KIDS,온라인,복리후생비,공적금,복리후생비_공적금,"13,347.00","13,347.00","13,347.00","13,347.00","13,347.00","13,347.00","13,347.00","9,419.00","9,168.00","9,168.00","9,168.00","12,108.00"
KIDS,온라인,복리후생비,사회보험,복리후생비_사회보험,"29,761.19","29,761.19","29,761.19","27,536.55","28,648.87","28,648.87","28,648.87","20,035.92","19,605.43","19,605.43","19,605.43","25,892.13"
KIDS,온라인,인건비,"급여,성과급",인건비,"183,615.20","219,760.16","327,997.33","202,355.57","149,841.33","149,841.33","164,702.72","83,038.07","83,167.00","83,676.80","91,793.26","95,786.00"
KIDS,인테리어,복리후생비,공적금,복리후생비_공적금,"5,426.00","5,426.00","3,506.00","3,506.00","1,325.00","1,325.00","1,325.00","3,127.00","2,544.00","2,544.00","2,544.00","2,544.00"
KIDS,인테리어,복리후생비,사회보험,복리후생비_사회보험,"12,097.87","12,097.87","7,816.91","7,232.61","2,844.16","2,844.16","2,844.16","6,673.38","5,438.29","5,438.29","5,438.29","5,438.29"
KIDS,인테리어,인건비,"급여,성과급",인건비,"54,746.61","88,185.67","155,480.00","58,690.73","29,046.67","19,046.67","19,046.67","20,475.40","20,657.00","23,608.00","23,608.00","23,608.00"
KIDS,인테리어,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,940.71","1,934.14","8,410.75"
MLB,Business Development,감가상각비,비품,감가상각비_기계장치,274.21,274.21,139.03,139.03,139.04,139.03,139.04,139.03,139.03,139.03,139.04,139.03
MLB,Business Development,복리후생비,공적금,복리후생비_공적금,"3,458.00","3,458.00","3,458.00","3,458.00","3,458.00","3,458.00","3,458.00","4,256.00","3,857.00","3,857.00","3,857.00","3,857.00"
MLB,Business Development,복리후생비,사회보험,복리후생비_사회보험,"7,709.66","7,709.66","7,709.66","7,133.38","7,421.52","7,421.52","7,421.52","9,077.54","8,249.53","8,249.53","8,249.53","8,249.53"
MLB,Business Development,인건비,"급여,성과급",인건비,"36,892.00","57,821.27","62,367.32","39,941.33","39,941.33","39,941.33","39,941.33","39,441.90","39,941.33","39,941.33","39,941.33","39,941.33"
MLB,Business Development,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,629.11,-35.61,0.00,0.00,"2,343.53",80.36,433.00,0.00,37.80
MLB,Business Development,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"2,939.29",0.00,0.00,0.00,0.00,0.00,"6,184.79"
MLB,MD,감가상각비,비품,감가상각비_기계장치,"3,978.02","3,289.87","3,289.85","3,289.79","2,884.35","2,884.29","2,884.36","2,197.23","1,973.55","1,973.57","1,973.59",820.30
MLB,MD,광고비,샘플사용,간접 샘플 수수료,0.00,0.00,"21,651.11","12,425.97","-7,793.58",0.00,0.00,241.31,"2,449.02",0.00,"6,049.03","3,461.94"
MLB,MD,복리후생비,공적금,복리후생비_공적금,"43,309.00","43,515.00","40,395.00","40,395.00","40,395.00","40,395.00","40,395.00","54,893.00","51,592.00","50,845.00","48,205.00","56,245.00"
MLB,MD,복리후생비,사회보험,복리후생비_사회보험,"100,077.70","93,581.56","90,103.28","83,368.10","86,735.69","86,735.69","86,735.69","117,432.91","110,325.27","108,728.16","103,082.96","120,275.16"
MLB,MD,인건비,"급여,성과급",인건비,"611,652.08","964,960.48","1,128,541.00","624,320.00","624,320.00","624,320.00","881,255.27","715,078.81","776,833.40","792,632.61","769,468.61","838,416.61"
MLB,MD,인건비,퇴직급여,퇴직급여,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"164,471.00",0.00,0.00,0.00,0.00
MLB,MD,출장비,국내출장비,여비교통비_국내출장비,116.00,0.00,"14,906.00","22,474.97",43.35,0.00,0.00,"3,122.30",-447.57,"2,777.02",0.00,0.00
MLB,MD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,"21,129.00",0.00,"190,560.43","11,357.54","11,541.93",0.00,347.20,"56,840.26","6,948.29"
MLB,MP(상품기획),복리후생비,공적금,복리후생비_공적금,"8,221.00","8,221.00","6,894.00","6,894.00","6,894.00","6,894.00","6,894.00","11,532.00","9,213.00","9,213.00","9,213.00","9,213.00"
MLB,MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,"18,329.79","18,329.79","15,372.80","14,223.70","14,798.25","14,798.25","14,798.25","24,603.27","19,700.77","19,700.77","19,700.77","19,700.77"
MLB,MP(상품기획),인건비,"급여,성과급",인건비,"92,272.00","161,476.00","407,929.33","90,013.33","90,013.33","90,013.33","90,013.33","87,114.89","90,013.33","90,013.33","90,013.33","90,013.33"
MLB,MP(상품기획),출장비,국내출장비,여비교통비_국내출장비,"1,610.00","1,198.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,MP(상품기획),출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"8,125.35",0.00,0.00,0.00,0.00,0.00,0.00
MLB,VMD,감가상각비,비품,감가상각비_기계장치,"4,174.98","3,717.85","3,717.86","3,717.80","3,582.68","3,312.31","3,162.41","2,597.02","2,597.01","2,597.01","2,597.03","2,702.48"
MLB,VMD,복리후생비,공적금,복리후생비_공적금,"19,429.00","15,044.00","15,044.00","15,044.00","15,930.00","18,570.00","17,370.00","29,130.00","26,078.00","26,078.00","26,078.00","26,078.00"
MLB,VMD,복리후생비,사회보험,복리후생비_사회보험,"43,319.92","33,540.86","33,540.86","31,033.68","34,188.63","39,854.95","37,279.35","62,147.67","55,760.33","55,760.33","55,760.33","55,760.33"
MLB,VMD,인건비,"급여,성과급",인건비,"199,073.78","250,998.82","-1,640,949.29","197,898.21","193,887.45","230,860.63","216,914.27","291,609.51","293,569.33","293,569.33","293,569.33","293,569.33"
MLB,VMD,인건비,퇴직급여,퇴직급여,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,VMD,인건비,"파트타임,인턴",노무비,"2,268.71",378.96,0.00,"3,102.22","3,858.12","5,823.45","4,386.24","11,719.48","4,386.24","2,420.90","4,235.07","3,858.12"
MLB,VMD,출장비,국내출장비,여비교통비_국내출장비,323.45,"4,303.30","10,714.38","10,916.34",220.45,0.00,"6,493.06","1,388.59","7,629.65",0.00,"1,807.01",0.00
MLB,VMD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"48,793.27",209.51,0.00,0.00,0.00,0.00,0.00
MLB,Wholesale,감가상각비,비품,감가상각비_기계장치,"1,294.50","1,151.92",881.59,881.56,746.43,611.22,461.32,461.30,461.30,461.30,461.32,0.00
MLB,Wholesale,광고비,샘플사용,간접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"69,493.13",0.00
MLB,Wholesale,광고비,샘플사용,직접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,Wholesale,복리후생비,공적금,복리후생비_공적금,"40,071.00","40,071.00","38,811.00","38,811.00","38,811.00","41,931.00","41,931.00","47,282.00","42,529.00","42,529.00","42,529.00","42,529.00"
MLB,Wholesale,복리후생비,사회보험,복리후생비_사회보험,"89,569.96","89,569.96","86,760.58","80,275.22","83,517.90","90,214.46","90,214.46","100,789.39","90,948.04","90,948.04","90,948.04","90,948.04"
MLB,Wholesale,인건비,"급여,성과급",인건비,"499,165.36","797,959.88","447,120.16","537,376.00","556,502.44","572,042.67","581,866.80","521,202.32","474,065.20","474,065.20","474,065.20","474,065.20"
MLB,Wholesale,출장비,국내출장비,여비교통비_국내출장비,"27,309.92","2,029.92","32,269.34","78,622.44","10,907.52","5,718.90","24,911.16","14,505.56","22,427.05","15,220.37","21,894.38","32,543.49"
MLB,Wholesale,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"49,317.08","3,468.23",0.00,0.00,0.00,0.00,0.00
MLB,리테일,감가상각비,비품,감가상각비_기계장치,501.01,501.00,365.83,365.82,365.84,230.65,230.66,230.65,230.65,230.65,230.66,0.00
MLB,리테일,광고비,샘플사용,간접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"424,298.52",0.00
MLB,리테일,복리후생비,공적금,복리후생비_공적금,"15,293.00","15,293.00","15,293.00","15,293.00","15,293.00","15,293.00","12,669.00","16,719.00","15,834.00","17,524.00","17,874.00","17,524.00"
MLB,리테일,복리후생비,사회보험,복리후생비_사회보험,"34,100.35","34,100.35","34,100.35","31,551.37","32,825.86","32,825.86","27,194.10","35,648.86","33,859.18","37,471.85","38,221.38","37,471.85"
MLB,리테일,인건비,"급여,성과급",인건비,"171,165.37","270,369.84","-235,451.19","191,492.09","191,318.91","182,682.47","154,150.49","273,761.85","280,235.64","258,743.72","274,305.93","273,787.49"
MLB,리테일,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,0.00,0.00,0.00,0.00,"6,943.10","5,614.49","-1,119.20","7,382.68","1,944.97","12,433.51"
MLB,리테일,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"5,830.02",0.00,0.00,0.00,0.00,0.00,0.00
MLB,마케팅,감가상각비,비품,감가상각비_기계장치,"3,010.37","3,010.36","3,010.37","3,010.31","2,870.40","2,329.63","1,879.89","1,879.88","1,879.86","2,494.31","2,494.31","2,033.00"
MLB,마케팅,광고비,마케팅,광고선전비_MKT광고,"22,551,074.67","8,097,530.14","7,476,450.73","9,573,118.52","5,178,148.48","3,001,418.40","4,045,591.36","18,049,848.80","14,223,052.24","10,814,284.27","12,343,764.09","9,260,425.89"
MLB,마케팅,광고비,샘플사용,간접 샘플 수수료,"11,449.44",0.00,582.94,"67,361.79",966.89,0.00,0.00,0.00,"1,368,989.62","317,635.73",0.00,0.00
MLB,마케팅,광고비,샘플사용,직접 샘플 수수료,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,마케팅,광고비,직영점,광고선전비_직영점광고비,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,마케팅,복리후생비,공적금,복리후생비_공적금,"41,439.00","38,199.00","35,581.00","39,999.00","42,303.00","35,867.00","44,632.00","62,867.00","57,028.00","55,288.00","57,028.00","55,288.00"
MLB,마케팅,복리후생비,사회보험,복리후생비_사회보험,"92,395.44","85,171.32","79,335.76","82,886.34","90,796.63","76,983.09","95,797.60","134,069.83","121,944.16","118,223.46","121,944.16","118,223.46"
MLB,마케팅,수주회,수주회,광고비_수주회,0.00,"210,548.00",0.00,0.00,0.00,"8,657,620.01",0.00,"-207,503.33",0.00,0.00,0.00,0.00
MLB,마케팅,인건비,"급여,성과급",인건비,"487,088.89","757,229.78","-299,585.94","539,058.67","603,629.92","489,158.67","619,350.23","663,661.75","638,807.87","620,441.20","640,063.42","646,398.03"
MLB,마케팅,인건비,"파트타임,인턴",노무비,"26,067.62","9,319.50","6,579.37","8,374.62","8,544.70","7,639.64","8,015.58","9,149.43","6,655.95","6,430.20","8,923.66","5,671.27"
MLB,마케팅,출장비,국내출장비,여비교통비_국내출장비,"1,886.67","2,731.20",0.00,"12,981.66",-383.19,0.00,"13,174.66","3,930.54","1,810.79","6,640.42","23,839.81","46,325.29"
MLB,마케팅,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"44,328.90","8,342.95","5,139.86",-11.32,0.00,0.00,0.00
MLB,온라인,감가상각비,비품,감가상각비_기계장치,"2,741.53","2,815.35","2,815.26","2,815.26","2,815.33","2,815.27","2,815.31","2,166.36","1,942.69","1,942.70","1,942.71","1,020.07"
MLB,온라인,광고비,온라인광고비,광고선전비_차오지투이지앤,0.00,0.00,0.00,0.00,0.00,0.00,"4,784.00",0.00,0.00,0.00,0.00,0.00
MLB,온라인,복리후생비,공적금,복리후생비_공적금,"64,654.00","64,654.00","61,106.00","61,848.00","57,670.00","51,343.00","51,343.00","80,893.00","75,948.00","71,518.00","80,378.00","68,758.00"
MLB,온라인,복리후생비,사회보험,복리후생비_사회보험,"144,158.01","144,158.01","139,990.01","123,908.35","123,780.55","110,200.92","110,200.92","172,575.66","162,409.24","152,935.31","171,883.17","147,033.51"
MLB,온라인,인건비,"급여,성과급",인건비,"930,403.06","1,335,777.31","232,954.74","889,848.09","821,177.14","649,938.36","751,980.00","778,393.81","886,219.20","792,714.43","881,177.41","677,249.97"
MLB,온라인,인건비,퇴직급여,퇴직급여,0.00,"111,876.00",0.00,0.00,"196,030.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,온라인,인건비,"파트타임,인턴",노무비,0.00,0.00,"9,891.50","11,623.54","12,200.89","12,200.89","12,200.89","15,664.97",0.00,0.00,0.00,0.00
MLB,온라인,출장비,국내출장비,여비교통비_국내출장비,"7,108.83","4,123.29",-66.73,"13,694.59","2,886.10","1,245.88",146.00,"1,005.39","1,803.38",156.49,"1,303.95","30,407.80"
MLB,온라인,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"45,765.39","14,196.21","2,292.00","2,341.26",0.00,0.00,0.00
MLB,유통MD,복리후생비,공적금,복리후생비_공적금,"29,371.00","29,371.00","31,831.00","33,811.00","33,811.00","33,811.00","29,959.00","26,170.00","20,835.00","17,852.00","20,835.00","17,852.00"
MLB,유통MD,복리후생비,사회보험,복리후생비_사회보험,"65,791.73","65,791.73","71,275.16","70,197.14","72,861.02","72,861.02","64,296.51","55,729.64","44,551.63","38,173.14","44,551.63","38,173.14"
MLB,유통MD,인건비,"급여,성과급",인건비,"327,301.33","541,470.49","1,537,274.29","414,753.33","414,753.33","425,536.29","369,238.67","213,286.66","217,568.00","187,692.00","217,568.00","187,692.00"
MLB,유통MD,출장비,국내출장비,여비교통비_국내출장비,0.00,0.00,"4,637.58","7,627.66",-54.49,0.00,0.00,0.00,51.45,0.00,0.00,0.00
MLB,유통MD,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,0.00,0.00,"52,465.17","1,291.53",0.00,0.00,0.00,0.00,0.00
MLB,인테리어,감가상각비,비품,감가상각비_기계장치,"2,972.13","2,972.11","3,348.20","3,348.20","3,348.21","3,213.03","3,213.04","3,042.17","3,738.94","3,738.95","3,738.97","3,738.96"
MLB,인테리어,감가상각비,인테리어,감가상각비_인테리어,"5,814.27","1,614.27","1,614.27","1,614.27","11,299.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLB,인테리어,복리후생비,공적금,복리후생비_공적금,"20,841.00","20,841.00","20,101.00","23,161.00","20,101.00","18,421.00","16,682.00","27,511.00","29,172.00","30,852.00","30,852.00","30,852.00"
MLB,인테리어,복리후생비,사회보험,복리후생비_사회보험,"46,468.74","46,468.74","44,820.50","48,037.96","43,145.34","39,539.50","38,846.44","55,652.90","62,379.19","65,971.59","65,971.59","65,971.59"
MLB,인테리어,인건비,"급여,성과급",인건비,"426,873.97","662,488.15","1,704,352.87","496,782.35","413,678.61","452,933.85","390,916.00","430,183.15","451,784.32","476,047.53","472,174.74","487,986.59"
MLB,인테리어,인건비,퇴직급여,퇴직급여,0.00,"88,069.00",0.00,0.00,0.00,"57,645.00",0.00,0.00,0.00,0.00,0.00,0.00
MLB,인테리어,출장비,국내출장비,여비교통비_국내출장비,"37,580.77","37,698.49","52,915.25","28,190.35","3,462.21","8,285.89","33,832.38","2,917.11","35,838.63","53,161.02","63,301.17","42,202.96"
MLB,인테리어,출장비,해외출장비,여비교통비_해외출장비,0.00,0.00,0.00,"3,667.74",0.00,"4,034.68","1,473.40",0.00,0.00,"11,933.53",0.00,"9,207.34"
공통,Business Development,기타,물류비,지급수수료_퀵서비스,23.40,427.93,119.20,105.33,110.24,67.02,88.66,75.40,131.94,46.72,519.40,37.70
공통,Business Development,기타,사무용품비,소모품비_사무용품,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
공통,Business Development,기타,시내교통비,여비교통비_시내교통비,660.48,657.72,91.26,981.16,749.60,359.77,0.00,"3,865.97",419.99,"1,211.31",521.16,"1,033.08"
공통,Business Development,기타,접대비,접대비,0.00,0.00,0.00,0.00,0.00,"2,021.56",0.00,393.56,"1,428.80",0.00,337.00,"9,203.00"
